"Store Icon","Store Icon"
"Store Information","Store Information"
"Store Latitude","Store Latitude"
"Store List","Store List"
"Store Locator","Store Locator"
"Store Locator Guide","Store Locator Guide"
"Store Longitude","Store Longitude"
"Store Manager","Store Manager"
"Store Map","Store Map"
"Store Name","Store Name"
"Store Not Found!","Store Not Found!"
"Store Search","Store Search"
"Store was successfully deleted","Store was successfully deleted"
"Store was successfully saved","Store was successfully saved"
"Storelocator","Storelocator"
"Sunday","Sunday"
"Swahili","Swahili"
"Swap locations A-B","Swap locations A-B"
"Swedish","Swedish"
"Syriac","Syriac"
"Tajik","Tajik"
"Tamil","Tamil"
"Tatar","Tatar"
"Telugu","Telugu"
"Thai","Thai"
"Thursday","Thursday"
"Time Schedule","Time Schedule"
"Title of the Store List page and Store Details pages.","Title of the Store List page and Store Details pages."
"To Date","To Date"
"Transit","Transit"
"Tuesday","Tuesday"
"Ukrainian","Ukrainian"
"Unable to find item to save","Unable to find item to save"
"Unable to find store to save","Unable to find store to save"
"Unit to measure distance between store and customer","Unit to measure distance between store and customer"
"Urdu","Urdu"
"Use Default","Use Default"
"Used with Google Suggest to search nearest store from customer location.","Used with Google Suggest to search nearest store from customer location."
"Uzbek","Uzbek"
"Vietnamese","Vietnamese"
"View Details","View Details"
"Walking","Walking"
"Wednesday","Wednesday"
"Welsh","Welsh"
"XML","XML"
"Xhosa","Xhosa"
"Yes","Yes"
"Yiddish","Yiddish"
"You need to insert From Date","You need to insert From Date"
"You need to insert data into From Date","You need to insert data into From Date"
"Your location","Your location"
"Zip Code","Zip Code"
"Zoom Level","Zoom Level"
"Zulu","Zulu"
"day(s). Store's holidays and special days within this period will be shown in frontend.","day(s). Store's holidays and special days within this period will be shown in frontend."
